,symbol,strategy,param,alpha,beta,perf,max_drawdown,profit_order,loss_order,last_trade,bh_profit
76,F,st_aeoas,t=7&h=15,0.06268659465702497,0.12694075192929125,21307.459886398836,0.7874721573368635,56.0,110.0,2015-01-07  sell -1344.01  14.92,29738.9
60,MA,st_aeoas,t=6&h=11,0.16170049937277536,0.15251598923185036,20944.197198795573,0.5466755655900655,29.0,44.0,2015-01-05  sell -1341.18  84.08,181192.66
1,GS,st_aeoas,t=6&h=15,0.07514116322110394,0.3193143706066962,17790.618819240513,0.4628952861959856,39.0,65.0,2015-01-07  sell -1177.31  186.97,20434.14
33,SOHU,st_aeoas,t=4&h=6,0.19318412310078864,0.08503678332466945,15691.3556741213,0.8434787453250213,58.0,121.0,2015-01-07  sell  750.03  51.05,68652.04
57,BLK,st_aeoas,t=7&h=14,0.07134153628539483,0.19809813612176924,15231.643514140345,0.4563437108165094,42.0,68.0,2015-01-06  sell -1542.12  345.24,304818.51
74,ERIC,st_aeoas,t=8&h=15,0.06668394176244834,0.13801793259602635,14375.451036632341,0.8358852080409314,50.0,111.0,2015-01-02  sell -585.18  12.01,25422.74
4,CBI,st_aeoas,t=9&h=15,0.09607118009234974,0.12438839634225912,14126.344301229637,0.7224633811051534,35.0,67.0,2014-12-01  sell -3404.41  47.9,90918.37
27,QIHU,st_aeoas,t=7&h=9,0.32927808017725163,0.04942398203259179,13031.716025448564,0.4645353424249068,7.0,21.0,2014-12-03  sell -2915.29  66.78,9212.57
71,CSCO,st_aeoas,t=8&h=13,-0.004075785142333381,0.20912805737558393,10187.184405460324,0.9002386194401875,56.0,123.0,2015-01-12  buy  0  28.02,3496250.0
66,RTN,st_aeoas,t=9&h=15,0.026669669179807093,0.23007840717773287,9987.496439273085,0.4944587579661819,57.0,91.0,2014-12-23  buy  0  109.84,103699.36
15,FB,st_aeoas,t=7&h=9,0.34510253780399414,0.05512120777459503,9482.108025823103,0.23871107973400735,9.0,11.0,2015-01-05  sell  199.66  77.82,13227.37
16,MRK,st_aeoas,t=8&h=11,0.02073107551974348,0.19464121307824217,7087.267015618563,0.623282467400001,70.0,119.0,2015-01-07  buy  0  61.01,96678.08
59,BA,st_aeoas,t=9&h=14,0.030648453146690055,0.1939728681078231,6356.277042860922,0.562035951347005,55.0,105.0,2014-12-26  buy  0  131.27,91214.23
24,MSFT,st_aeoas,t=4&h=7,0.015057032169393724,0.2524806429711608,5682.086633880212,0.733499324631808,101.0,200.0,2014-12-31  sell -465.06  46.77,1049090.91
53,VMW,st_aeoas,t=5&h=15,0.07532835797641768,0.16904135365757497,5098.393086601478,0.5292069586670091,20.0,30.0,2015-01-06  sell -784.94  80.14,4167.4
42,HD,st_aeoas,t=9&h=15,-0.022554386542039544,0.2506063815173594,5012.924895117596,0.8156401722080763,58.0,101.0,2014-10-22  buy  0  93.52,752189.78
46,KMB,st_aeoas,t=8&h=15,0.007437823664508575,0.23011084065842094,4772.418932411815,0.3629344632017548,53.0,104.0,2015-01-09  buy  0  116.41,128138.42
35,ORCL,st_aeoas,t=9&h=15,0.026918897985241167,0.14074979543624563,4487.757229778952,0.8770824706101511,59.0,102.0,2015-01-12  sell -799.58  43.29,855400.0
20,COH,st_aeoas,t=4&h=12,0.033216473375441466,0.22272890658992361,3694.8353252632187,0.566501277085222,47.0,76.0,2014-12-18  buy  0  36.36,183819.1
32,CYOU,st_aeoas,t=8&h=15,0.038980201101651075,0.07195883113791754,3176.7866546715777,0.5331147831107096,12.0,23.0,2014-12-16  buy  0  24.48,2772.52
41,PFE,st_aeoas,t=9&h=15,-0.005417630292246993,0.2617798686642292,2999.46929725428,0.765775720807228,52.0,99.0,2015-01-08  buy  0  32.42,209932.89
29,TWTR,st_aeoas,t=8&h=15,0.3164328853366876,0.03338620725982136,2055.8661546340936,0.42873704410541713,3.0,2.0,2015-01-09  buy  0  39.5,-603.82
61,GM,st_aeoas,t=8&h=13,0.021695701186526865,0.2869757491178454,1602.2920110611922,0.2176112285353784,10.0,14.0,2014-12-23  buy  0  33.53,887.0
12,BABA,st_aeoas,t=9&h=14,0.5128747976439818,0.18886078740570122,1415.3871435399342,0.12529860714911253,1.0,1.0,2014-12-24  sell -449.06  106.11,1304.93
82,SNY,st_aeoas,t=8&h=15,-0.002662432462620174,0.3392218519223044,1315.2161014777148,0.36217582644563884,25.0,48.0,2014-12-09  sell -595.52  46.1,11596.15
11,V,st_aeoas,t=9&h=15,0.021478843834862253,0.21327786240062985,879.7596462002548,0.584751098127505,16.0,24.0,2015-01-09  buy  0  262.1,35665.61
51,MJN,st_aeoas,t=8&h=13,-0.023051283569381353,0.24671511628090861,742.0120243812726,0.3628696805603656,14.0,28.0,2015-01-06  sell -539.23  98.31,30753.26
54,GE,st_aeoas,t=9&h=14,-0.02047171197293972,0.3817253278908766,-200.54531543381745,0.6297742265600653,62.0,121.0,2015-01-05  sell -471.59  24.79,76884.06
13,CAT,st_aeoas,t=9&h=12,0.02246150754241577,0.19740114270053968,-419.75230390167417,0.8009121603726049,62.0,132.0,2014-12-02  sell -35.12  99.42,195413.71
47,JDSU,st_aeoas,t=4&h=13,0.08204653893984405,0.10358239026316884,-616.0492849843376,0.9662144980237259,62.0,127.0,2015-01-05  sell -126.34  13.66,55679.61
73,MMM,st_aeoas,t=9&h=15,-0.017184107104703337,0.2972077794234296,-1060.9729789088642,0.5317182911847874,52.0,102.0,2015-01-07  sell -42.97  159.73,148677.2
50,PEP,st_aeoas,t=9&h=15,-0.031212716986229294,0.26411252379808925,-1310.612220423467,0.6071232504353341,54.0,103.0,2015-01-02  sell -185.63  94.69,150968.28
44,GOOG,st_aeoas,t=9&h=15,-0.09049794041535787,0.11408967378775557,-1532.2627456672817,0.16865460877988772,0.0,6.0,2015-01-06  sell -420.01  508.55,-1313.05
31,CL,st_aeoas,t=9&h=13,-0.02172839542296818,0.3158620729766078,-1557.7770258928604,0.7568053093859175,61.0,127.0,2015-01-06  sell -247.17  68.26,280468.09
34,GILD,st_aeoas,t=6&h=15,0.053413463440321024,0.10090983611461217,-1667.7639395125489,0.8050603781476118,56.0,107.0,2015-01-09  buy  0  102.83,1456811.59
45,C,st_aeoas,t=9&h=11,-0.009794190148421235,0.24256347098913866,-2018.9658429896217,0.8489235489405272,79.0,126.0,2015-01-06  sell -496.69  51.67,23342.16
64,BMY,st_aeoas,t=6&h=14,-0.00910102502467514,0.24442409015076128,-2142.746380197167,0.7676932917510232,63.0,114.0,2015-01-09  buy  0  60.55,104723.25
49,DIS,st_aeoas,t=8&h=15,-0.019417198892443525,0.24635043230332207,-2158.875830875464,0.8143800086828523,54.0,111.0,2014-11-25  buy  0  90.1,117994.58
18,BAC,st_aeoas,t=9&h=14,-0.00662326341449052,0.2263274001228372,-2476.0260784889233,0.8161660622015373,60.0,121.0,2015-01-07  sell -280.84  17.03,20437.96
58,JNJ,st_aeoas,t=7&h=11,-0.028242281178312297,0.25773375805220683,-2491.014941999896,0.6783240686682261,75.0,127.0,2015-01-09  buy  0  105.67,230967.74
9,KO,st_aeoas,t=5&h=8,-0.037526070237209525,0.30596523899036576,-2523.42285109188,0.7145366683559554,88.0,178.0,2015-01-08  buy  0  43.34,137543.25
6,WB,st_aeoas,t=9&h=13,-0.21980415719463153,-0.09520767253923107,-2728.3294118640006,0.2948794503942619,1.0,5.0,2014-11-19  sell -526.83  18.12,-3927.47
77,MS,st_aeoas,t=5&h=13,-0.017861998996017175,0.3100793095457943,-2779.8318103282536,0.881056903793165,63.0,107.0,2015-01-07  sell -310.01  36.88,63623.48
37,AZN,st_aeoas,t=4&h=8,-0.018696830318570952,0.2162946614517378,-2855.6322946140435,0.8452993714952055,80.0,146.0,2014-12-03  sell  336.14  73.56,143225.11
8,COP,st_aeoas,t=9&h=15,-0.002201849156045525,0.2377482049756075,-3331.9782424126706,0.7017835451915521,59.0,107.0,2015-01-07  sell -670.17  63.61,140885.17
79,WMT,st_aeoas,t=6&h=11,-0.0469029202474104,0.2762568393502198,-3433.0811808799,0.817083136685766,68.0,143.0,2014-12-19  buy  0  85.73,195525.11
22,NVS,st_aeoas,t=9&h=11,-0.039668154460288284,0.35460162598946665,-3551.3352838948013,0.7220854037134735,39.0,76.0,2015-01-09  buy  0  96.28,23584.24
38,WFC,st_aeoas,t=9&h=15,-0.029045453614014168,0.1944299194920102,-3617.255701459634,0.8690736976802481,62.0,110.0,2015-01-06  sell -290.83  52.69,372720.59
26,LLY,st_aeoas,t=5&h=8,-0.0031746279827787128,0.13870316670244862,-3951.951668457761,0.7893968578920434,84.0,176.0,2014-12-24  sell -197.99  70.24,77101.63
28,EMC,st_aeoas,t=4&h=6,-0.03663252218116901,0.1696300608292645,-3954.7622537877514,0.9408373758806103,107.0,211.0,2015-01-06  sell -250.47  28.99,3607500.0
36,PG,st_aeoas,t=9&h=11,-0.03946091926764338,0.32164740822106447,-4135.529347304048,0.6199155096380855,74.0,147.0,2015-01-05  sell  364.27  90.27,171656.57
70,MCD,st_aeoas,t=9&h=14,-0.02888572932115407,0.2615821635092985,-5150.624630066366,0.7984770883901983,52.0,119.0,2015-01-08  buy  0  94.41,156089.29
43,LITB,st_aeoas,t=5&h=6,-0.43355610583477816,0.047084850647112035,-5222.584768517517,0.6920568601918625,5.0,12.0,2015-01-09  buy  0  6.41,-4932.16
40,SAP,st_aeoas,t=6&h=8,-0.027568144742735334,0.2150999604927322,-5322.210581755276,0.7348215639863186,63.0,109.0,2015-01-06  sell -376.25  65.86,51996.34
23,DOW,st_aeoas,t=9&h=15,0.0012721232979358166,0.1804638904796483,-5402.226197868432,0.7884419897380943,57.0,110.0,2014-12-02  sell -102.91  48.08,35941.73
68,FOXA,st_aeoas,t=8&h=15,-0.044553559939307014,0.297154735906672,-5521.400523305599,0.7854214168237004,38.0,88.0,2015-01-07  sell  211.98  35.96,36798.94
62,XOM,st_aeoas,t=5&h=15,-0.06340627183631845,0.32229805889307234,-6326.842006095963,0.7184743547847133,58.0,150.0,2015-01-06  sell -178.38  90.12,142584.46
65,JPM,st_aeoas,t=4&h=7,-0.07014123535872263,0.3278862634429329,-6606.488568588859,0.88739168544164,94.0,203.0,2015-01-06  sell -126.29  59.68,121610.74
78,ABT,st_aeoas,t=5&h=13,-0.058028556144864,0.19275682546823739,-7049.173967310744,0.7970678038885615,72.0,146.0,2015-01-07  sell -104.85  44.7,215643.56
63,VZ,st_aeoas,t=4&h=15,-0.07051403318957258,0.3431323882874842,-7327.018556695932,0.8124416751029842,59.0,152.0,2014-11-24  sell -34.53  48.87,45914.49
3,AXP,st_aeoas,t=7&h=11,-0.02667700596759834,0.22695790345290484,-7429.110970948475,0.9397801721422504,70.0,154.0,2015-01-06  sell -133.59  89.3,144844.29
56,T,st_aeoas,t=9&h=13,-0.06846487791902423,0.2261083247141245,-7837.60076894717,0.8155689544069942,60.0,125.0,2014-12-29  buy  0  33.64,52249.07
7,CVX,st_aeoas,t=5&h=6,-0.08217678290379513,0.3106066924291837,-8479.671035833137,0.8558629074377774,105.0,242.0,2015-01-06  sell -52.04  107.85,139759.55
21,GSK,st_aeoas,t=4&h=6,-0.09562621677269564,0.279619902186732,-8863.043978949714,0.9097125193086097,108.0,218.0,2015-01-09  buy  0  42.88,73036.75
