symbol,rank,name,sector,industry,pid,exg
SIXD,0,6D Global Technologies Inc.,n/a,n/a,0,O
MRC,5,MRC Global Inc.,Capital Goods,Industrial Machinery/Components,0,N
APP,3,American Apparel Inc,Finance,Business Services,0,A
APT,0,Alpha Pro Tech Ltd.,Health Care,Industrial Specialties,0,A
APU,3,AmeriGas Partners L.P.,Consumer Services,Other Specialty Stores,0,N
ORBK,3,Orbotech Ltd.,Capital Goods,Industrial Machinery/Components,0,O
API,3,Advanced Photonix Inc.,Technology,Semiconductors,0,A
APO,4,Apollo Global Management LLC,Finance,Investment Managers,0,N
APL,3,Atlas Pipeline Partners L.P.,Public Utilities,Natural Gas Distribution,0,N
APB,0,Asia Pacific Fund Inc. (The),n/a,n/a,0,N
APC,5,Anadarko Petroleum Corporation,Energy,Oil & Gas Production,0,N
ORBC,3,ORBCOMM Inc.,Consumer Services,Telecommunications Equipment,0,O
APA,5,Apache Corporation,Energy,Oil & Gas Production,0,N
APF,0,Morgan Stanley Asia-Pacific Fund Inc.,n/a,n/a,0,N
APD,2,Air Products and Chemicals Inc.,Basic Industries,Major Chemicals,0,N
GULTU,-1,Gulf Coast Ultra Deep Royalty Trust,Energy,Oil & Gas Production,0,O
ADNC,3,Audience Inc.,Technology,Semiconductors,0,O
UCTT,3,Ultra Clean Holdings Inc.,Technology,Semiconductors,0,O
EMKR,3,EMCORE Corporation,Technology,Semiconductors,0,O
PAYX,3,Paychex Inc.,Consumer Services,Diversified Commercial Services,4,O
CSOD,3,Cornerstone OnDemand Inc.,Technology,Computer Software: Prepackaged Software,0,O
SLCT,2,Select Bancorp Inc.,Finance,Major Banks,0,O
TRTLW,-1,Terrapin 3 Acquisition Corporation,Finance,Business Services,0,O
SLCA,4,U.S. Silica Holdings Inc.,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),0,N
TRTLU,-1,Terrapin 3 Acquisition Corporation,Finance,Business Services,0,O
PAYC,3,Paycom Software Inc.,Technology,Computer Software: Prepackaged Software,0,N
JGBB,0,WisdomTree Japan Interest Rate Strategy Fund,n/a,n/a,0,O
SEP,1,Spectra Energy Partners LP,Public Utilities,Natural Gas Distribution,0,N
VTIP,0,Vanguard Short-Term Inflation-Protected Securities Index Fund,n/a,n/a,0,O
OCUL,3,Ocular Therapeutix Inc.,Health Care,Major Pharmaceuticals,0,O
LBRKR,-1,Liberty Broadband Corporation,n/a,n/a,0,O
LAND,2,Gladstone Land Corporation,Consumer Services,Real Estate Investment Trusts,0,O
LANC,3,Lancaster Colony Corporation,Consumer Non-Durables,Packaged Foods,0,O
RKUS,3,Ruckus Wireless Inc.,Technology,Computer peripheral equipment,0,N
SEB,0,Seaboard Corporation,n/a,n/a,0,A
CRWS,3,Crown Crafts Inc.,Basic Industries,Textiles,0,O
CRWN,0,Crown Media Holdings Inc.,Consumer Services,Television Services,0,O
SPAN,0,Span-America Medical Systems Inc.,Health Care,Industrial Specialties,0,O
SOCB,0,Southcoast Financial Corporation,Finance,Major Banks,0,O
RMGN,0,RMG Networks Holding Corporation,Miscellaneous,Business Services,0,O
SOCL,2,Global X Social Media Index ETF,n/a,n/a,0,O
DNKN,4,Dunkin&#39; Brands Group Inc.,Consumer Services,Restaurants,0,O
VNRBP,-1,Vanguard Natural Resources LLC,Energy,Oil & Gas Production,0,O
SPAR,3,Spartan Motors Inc.,Capital Goods,Auto Manufacturing,0,O
ANSS,3,ANSYS Inc.,Technology,Computer Software: Prepackaged Software,0,O
CNHI,3,CNH Industrial N.V.,Capital Goods,Construction/Ag Equipment/Trucks,0,N
GEF/B,-1,Greif Bros. Corporation,n/a,n/a,0,N
BIIB,2,Biogen Idec Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),6,O
PHIIK,0,PHI Inc.,Transportation,Transportation Services,0,O
HOTRW,-1,Chanticleer Holdings Inc.,Consumer Services,Restaurants,0,O
OAKS,5,Five Oaks Investment Corp.,Consumer Services,Real Estate Investment Trusts,0,N
VCF,0,Delaware Investments Colorado Municipal Income Fund Inc,n/a,n/a,0,A
VCO,0,Vina Concha Y Toro,Consumer Non-Durables,Beverages (Production/Distribution),0,N
IMO,5,Imperial Oil Limited,Energy,Integrated oil Companies,0,A
VCV,0,Invesco California Value Municipal Income Trust,n/a,n/a,0,N
CLC,4,CLARCOR Inc.,Capital Goods,Auto Parts:O.E.M.,0,N
TARO,0,Taro Pharmaceutical Industries Ltd.,Health Care,Major Pharmaceuticals,0,N
AIRI,4,Air Industries Group,Capital Goods,Military/Government/Technical,0,A
AIRM,3,Air Methods Corporation,Transportation,Transportation Services,0,O
AIRR,0,First Trust RBA American Industrial Renaissance ETF,n/a,n/a,0,O
AIRT,0,Air T Inc.,Transportation,Air Freight/Delivery Services,0,O
FCE/B,-1,Forest City Enterprises Inc,Consumer Services,Building operators,0,N
CFNL,3,Cardinal Financial Corporation,Finance,Major Banks,0,O
FCE/A,-1,Forest City Enterprises Inc,Consumer Services,Building operators,0,N
AMSG,2,Amsurg Corp.,Health Care,Medical/Nursing Services,0,O
AMSF,2,AMERISAFE Inc.,Finance,Property-Casualty Insurers,0,O
AMSC,0,American Superconductor Corporation,Consumer Durables,Metal Fabrications,0,O
CFNB,0,California First National Bancorp,Finance,Major Banks,0,O
LIVE,2,LiveDeal Inc.,Technology,EDP Services,0,O
BRDR,2,Borderfree Inc.,Miscellaneous,Business Services,0,O
YUMA,0,Yuma Energy Inc.,Energy,Oil & Gas Production,0,A
YUME,2,YuMe Inc.,Technology,Advertising,0,N
CSPI,0,CSP Inc.,Technology,EDP Services,0,O
X,3,United States Steel Corporation,Basic Industries,Steel/Iron Ore,0,N
BLIN,2,Bridgeline Digital Inc.,Technology,Computer Software: Prepackaged Software,0,O
UBSH,3,Union Bankshares Corporation,Finance,Major Banks,0,O
UBSI,3,United Bankshares Inc.,Finance,Major Banks,0,O
PLCE,2,Children&#39;s Place Inc. (The),Consumer Services,Clothing/Shoe/Accessory Stores,0,O
HMNF,0,HMN Financial Inc.,Finance,Savings Institutions,0,O
PLCM,3,Polycom Inc.,Public Utilities,Telecommunications Equipment,0,O
MCUR,3,MACROCURE LTD.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),0,O
UMBF,3,UMB Financial Corporation,Finance,Major Banks,0,O
DMB,-1,Dreyfus Municipal Bond Infrastructure Fund Inc.,n/a,n/a,0,N
DMD,3,Demand Media Inc.,Technology,EDP Services,0,N
DMF,0,Dreyfus Municipal Income Inc.,n/a,n/a,0,A
VNTV,4,Vantiv Inc.,Miscellaneous,Business Services,0,N
DMO,-1,Western Asset Mortgage Defined Opportunity Fund Inc,n/a,n/a,0,N
SWKS,1,Skyworks Solutions Inc.,Technology,Semiconductors,4,O
INFA,4,Informatica Corporation,Technology,Computer Software: Prepackaged Software,4,O
GPOR,4,Gulfport Energy Corporation,Energy,Oil & Gas Production,0,O
FWV,0,First West Virginia Bancorp Inc.,Finance,Major Banks,0,A
XWES,-1,World Energy Solutions Inc (DE),Miscellaneous,Business Services,0,O
BSBR,4,Banco Santander Brasil SA,Finance,Commercial Banks,0,N
OXLCO,-1,Oxford Lane Capital Corp.,n/a,n/a,0,O
OXLCN,-1,Oxford Lane Capital Corp.,n/a,n/a,0,O
SABR,3,Sabre Corporation,Technology,Computer Software: Programming Data Processing,0,O
OPOF,0,Old Point Financial Corporation,Finance,Major Banks,0,O
CTXS,3,Citrix Systems Inc.,Technology,Computer Software: Prepackaged Software,0,O
OXLCP,-1,Oxford Lane Capital Corp.,n/a,n/a,0,O
MGIC,4,Magic Software Enterprises Ltd.,Technology,Computer Software: Prepackaged Software,0,O
FFBC,3,First Financial Bancorp.,Finance,Major Banks,0,O
LEN/B,-1,Lennar Corporation,n/a,n/a,0,N
XRM,0,Xerium Technologies Inc.,Basic Industries,Textiles,0,N
INFY,3,Infosys Limited,Technology,EDP Services,4,N
XRA,0,Exeter Resource Corporation,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),0,A
XRX,4,Xerox Corporation,Miscellaneous,Business Services,0,N
XRS,3,TAL Education Group,Consumer Services,Other Consumer Services,0,N
PSO,3,Pearson Plc,Consumer Services,Books,0,N
JLS,-1,Nuveen Mortgage Opportunity Term Fund,n/a,n/a,0,N
PSB,4,PS Business Parks Inc.,Consumer Services,Real Estate Investment Trusts,0,N
PSA,2,Public Storage,Consumer Services,Real Estate Investment Trusts,0,N
PSF,-1,Cohen & Steers Select Preferred and Income Fund Inc.,n/a,n/a,0,N
PSG,4,Performance Sports Group Ltd,Consumer Non-Durables,Recreational Products/Toys,0,N
ESYS,0,Elecsys Corporation,Capital Goods,Industrial Machinery/Components,0,O
KFRC,3,Kforce Inc.,Technology,Professional Services,0,O
JLA,-1,Nuveen Equity Premium Advantage Fund,n/a,n/a,0,N
INWK,3,InnerWorkings Inc.,Consumer Durables,Containers/Packaging,0,O
ASUR,3,Asure Software Inc,Technology,EDP Services,0,O
GABC,3,German American Bancorp Inc.,Finance,Major Banks,0,O
BCO,3,Brink&#39;s Company (The),Transportation,Oil Refining/Marketing,0,N
BCH,4,Banco De Chile,Finance,Commercial Banks,0,N
TRNO,4,Terreno Realty Corporation,Finance,Real Estate,0,N
HNI,3,HNI Corporation,Consumer Durables,Office Equipment/Supplies/Services,0,N
HNH,0,Handy & Harman Ltd.,Capital Goods,Industrial Specialties,0,O
HCACW,-1,Hennessy Capital Acquisition Corp.,Capital Goods,Construction/Ag Equipment/Trucks,0,O
BCA,1,Corpbanca,Finance,Commercial Banks,0,N
BCC,2,Boise Cascade L.L.C.,Consumer Services,RETAIL: Building Materials,0,N
TRNX,2,Tornier N.V.,Health Care,Industrial Specialties,0,O
HNP,1,Huaneng Power International Inc.,Public Utilities,Electric Utilities: Central,0,N
ZIONW,-1,Zions Bancorporation,Finance,Major Banks,0,O
HNR,0,Harvest Natural Resources Inc,Energy,Oil & Gas Production,0,N
BCX,-1,BlackRock Resources,n/a,n/a,0,N
HNT,3,Health Net Inc.,Health Care,Medical Specialities,0,N
HNW,-1,Pioneer Diversified High Income Trust,n/a,n/a,0,A
RIVR,0,River Valley Bancorp.,Finance,Savings Institutions,0,O
BCV,0,Bancroft Fund Limited,n/a,n/a,0,A
TRNS,0,Transcat Inc.,Capital Goods,Electrical Products,0,O
BCR,2,C.R. Bard Inc.,Health Care,Medical/Dental Instruments,0,N
BCS,3,Barclays PLC,Finance,Commercial Banks,0,N
BAC/WS/A,-1,Bank of America Corporation,n/a,n/a,0,N
OSGB,0,Overseas Shipholding Group Inc.,Transportation,Marine Transportation,0,A
SRC,3,Spirit Realty Capital Inc.,Consumer Services,Building operators,0,N
SRF,-1,The Cushing Royalty & Income Fund,n/a,n/a,0,N
ASRVP,-1,AmeriServ Financial Inc.,Finance,Major Banks,0,O
CORI,3,Corium International Inc.,Health Care,Major Pharmaceuticals,0,O
SRE,3,Sempra Energy,Public Utilities,Natural Gas Distribution,4,N
SRI,3,Stoneridge Inc.,Capital Goods,Auto Parts:O.E.M.,0,N
ESCRP,-1,Escalera Resources Co.,Energy,Oil & Gas Production,0,O
SRV,0,The Cushing MLP Total Return Fund,n/a,n/a,0,N
SRT,2,StarTek Inc.,Technology,Professional Services,0,N
MYC,0,Blackrock MuniYield California Fund Inc.,n/a,n/a,0,N
TDJ,-1,Telephone and Data Systems Inc.,Public Utilities,Telecommunications Equipment,0,N
NMT,0,Nuveen Massachusetts Premium Income Municipal Fund,n/a,n/a,0,N
NMR,0,Nomura Holdings Inc ADR,Finance,Investment Bankers/Brokers/Service,0,N
NMS,-1,Nuveen Minnesota Municipal Income Fund,n/a,n/a,0,N
TDC,3,Teradata Corporation,Technology,Computer Manufacturing,0,N
TDA,-1,Telephone and Data Systems Inc.,Public Utilities,Telecommunications Equipment,0,N
HLX,4,Helix Energy Solutions Group Inc.,Energy,Oilfield Services/Equipment,4,N
TDG,2,Transdigm Group Incorporated,Capital Goods,Military/Government/Technical,0,N
TDF,0,Templeton Dragon Fund Inc.,n/a,n/a,0,N
TDE,-1,Telephone and Data Systems Inc.,Public Utilities,Telecommunications Equipment,0,N
NMY,0,Nuveen Maryland Premium Income Municipal Fund,n/a,n/a,0,N
TDY,2,Teledyne Technologies Incorporated,Capital Goods,Industrial Machinery/Components,0,N
BBDO,0,Banco Bradesco Sa,Capital Goods,Miscellaneous,0,N
NMA,0,Nuveen Municipal Advantage Fund Inc.,n/a,n/a,0,N
TDS,3,Telephone and Data Systems Inc.,Public Utilities,Telecommunications Equipment,0,N
NMO,0,Nuveen Municipal Market Opportunity Fund Inc.,n/a,n/a,0,N
NML,-1,Neuberger Berman MLP Income Fund Inc.,n/a,n/a,0,A
NMM,3,Navios Maritime Partners LP,Transportation,Marine Transportation,0,N
TDW,4,Tidewater Inc.,Consumer Services,Marine Transportation,0,N
NMI,0,Nuveen Municipal Income Fund Inc.,n/a,n/a,0,N
IMUC,3,ImmunoCellular Therapeutics Ltd.,Health Care,Major Pharmaceuticals,0,A
LPSB,3,LaPorte Bancorp Inc.,Finance,Savings Institutions,0,O
SYRX,3,Sysorex Global Holding Corp.,Technology,EDP Services,0,O
SMFG,4,Sumitomo Mitsui Financial Group Inc,Finance,Commercial Banks,0,N
LOR,-1,Lazard World Dividend & Income Fund Inc.,n/a,n/a,0,N
FHY,-1,First Trust Strategic High Income Fund II,n/a,n/a,0,N
LOW,2,Lowe&#39;s Companies Inc.,Consumer Services,RETAIL: Building Materials,4,N
ADUS,3,Addus HomeCare Corporation,Health Care,Medical/Nursing Services,0,O
IKAN,3,Ikanos Communications Inc.,Public Utilities,Telecommunications Equipment,0,O
GUID,3,Guidance Software Inc.,Technology,Computer Software: Prepackaged Software,0,O
CQB,-1,Chiquita Brands International Inc.,Consumer Non-Durables,Farming/Seeds/Milling,0,N
QTEC,1,First Trust NASDAQ-100-Technology Sector Index Fund,n/a,n/a,0,O
NTGR,3,NETGEAR Inc.,Public Utilities,Telecommunications Equipment,0,O
EBF,0,Ennis Inc.,Consumer Services,Office Equipment/Supplies/Services,0,N
NOW,3,ServiceNow Inc.,Technology,Computer Software: Prepackaged Software,0,N
RJF,4,Raymond James Financial Inc.,Finance,Investment Bankers/Brokers/Service,4,N
RJD,-1,Raymond James Financial Inc.,Finance,Investment Bankers/Brokers/Service,0,N
EBR,0,Centrais Electricas Brasileiras SA,Public Utilities,Electric Utilities: Central,0,N
EBS,3,Emergent Biosolutions Inc.,Health Care,Major Pharmaceuticals,0,N
DRQ,4,Dril-Quip Inc.,Energy,Metal Fabrications,4,N
ABGB,1,Abengoa S.A.,Consumer Services,Military/Government/Technical,0,O
GLNG,3,Golar LNG Limited,Consumer Services,Marine Transportation,0,O
LFUS,3,Littelfuse Inc.,Consumer Durables,Electrical Products,0,O
DRI,2,Darden Restaurants Inc.,Consumer Services,Restaurants,0,N
DRH,2,Diamondrock Hospitality Company,Consumer Services,Real Estate Investment Trusts,0,N
DRL,0,Doral Financial Corporation,Finance,Commercial Banks,0,N
GPRE,3,Green Plains Inc.,Basic Industries,Major Chemicals,0,O
DRA,-1,Diversified Real Asset Income Fund,n/a,n/a,0,N
DRC,4,Dresser-Rand Group Inc.,Energy,Industrial Machinery/Components,0,N
GPRO,2,GoPro Inc.,Miscellaneous,Industrial Machinery/Components,0,O
DRD,0,DRDGOLD Limited,Basic Industries,Precious Metals,0,N
CONN,5,Conn&#39;s Inc.,Consumer Services,Consumer Electronics/Video Chains,0,O
TCBI,4,Texas Capital Bancshares Inc.,Finance,Major Banks,0,O
NDRM,3,NeuroDerm Ltd.,Health Care,Major Pharmaceuticals,0,O
NDRO,5,Enduro Royalty Trust,Energy,Oil & Gas Production,0,N
HEOP,3,Heritage Oaks Bancorp,Finance,Major Banks,0,O
CXP,4,Columbia Property Trust Inc.,Consumer Services,Real Estate Investment Trusts,0,N
CXW,3,Corrections Corporation of America,Consumer Services,Real Estate Investment Trusts,0,N
CXE,0,Colonial High Income Municipal Trust,n/a,n/a,0,N
RPRXZ,-1,Repros Therapeutics Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),0,O
CXH,0,Colonial Investment Grade Municipal Trust,n/a,n/a,0,N
RPRXW,-1,Repros Therapeutics Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),0,O
CXO,5,Concho Resources Inc.,Energy,Oil & Gas Production,0,N
METR,0,Metro Bancorp Inc,Finance,Major Banks,0,O
CVEO,3,Civeo Corporation,Consumer Services,Hotels/Resorts,0,N
AAON,0,AAON Inc.,Capital Goods,Industrial Machinery/Components,0,O
AAOI,3,Applied Optoelectronics Inc.,Technology,Semiconductors,0,O
OXGN,3,OXiGENE Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),0,O
GOF,-1,Guggenheim Strategic Opportunities Fund,n/a,n/a,0,N
NEPT,2,Neptune Technologies & Bioresources Inc,Health Care,Major Pharmaceuticals,0,O
JAZZ,3,Jazz Pharmaceuticals plc,Health Care,Major Pharmaceuticals,0,O
IBCP,3,Independent Bank Corporation,Finance,Major Banks,0,O
CAPL,3,CrossAmerica Partners LP,Energy,Oil Refining/Marketing,0,N
CAPN,0,Capnia Inc.,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,0,O
