symbol,rank,sector,industry
ENJ,-1,Entergy New Orleans Inc.,Public Utilities,Power Generation
GRT,0,Glimcher Realty Trust,Consumer Services,Real Estate Investment Trusts
TPRE,4,Third Point Reinsurance Ltd.,Finance,Property-Casualty Insurers
GRR,0,Asia Tigers Fund Inc. (The),n/a,n/a
GRX,-1,The Gabelli Healthcare & Wellness Trust,n/a,n/a
GRF,0,Eagle Capital Growth Fund Inc.,n/a,n/a
GRC,3,Gorman-Rupp Company (The),Capital Goods,Fluid Controls
GRA,4,W.R. Grace & Co.,Basic Industries,Major Chemicals
GRO,0,Agria Corporation,Consumer Non-Durables,Farming/Seeds/Milling
GRH,2,GreenHunter Resources Inc.,Basic Industries,Major Chemicals
NSLP,4,New Source Energy Partners L.P.,Energy,Oil & Gas Production
DYAX,2,Dyax Corp.,Health Care,Biotechnology: Commercial Physical & Biological Resarch
LPSN,2,LivePerson Inc.,Technology,Computer Software: Prepackaged Software
AVHI,3,A V Homes Inc.,Capital Goods,Homebuilding
LPSB,3,LaPorte Bancorp Inc.,Finance,Savings Institutions
HLS,1,HealthSouth Corporation,Health Care,Hospital/Nursing Management
NOA,2,North American Energy Partners Inc.,Energy,Oilfield Services/Equipment
NOC,2,Northrop Grumman Corporation,Capital Goods,Industrial Machinery/Components
HLF,4,Herbalife LTD.,Health Care,Other Pharmaceuticals
NOV,5,National Oilwell Varco Inc.,Energy,Metal Fabrications
HVT/A,-1,Haverty Furniture Companies Inc.,Consumer Services,Other Specialty Stores
NOR,1,Noranda Aluminum Holding Corporation,Basic Industries,Aluminum
SYPR,0,Sypris Solutions Inc.,Capital Goods,Industrial Machinery/Components
IFAS,0,iShares FTSE EPRA/NAREIT Asia Index Fund,n/a,n/a
SPW,4,SPX Corporation,Technology,Industrial Machinery/Components
RFI,0,Cohen & Steers Total Return Realty Fund Inc.,n/a,n/a
VRTX,3,Vertex Pharmaceuticals Incorporated,Health Care,Major Pharmaceuticals
ARTW,0,Art&#39;s-Way Manufacturing Co. Inc.,Capital Goods,Industrial Machinery/Components
KTOS,3,Kratos Defense & Security Solutions Inc.,Capital Goods,Military/Government/Technical
ARTX,3,Arotech Corporation,Miscellaneous,Industrial Machinery/Components
WSH,3,Willis Group Holdings Limited,Finance,Specialty Insurers
EVBS,3,Eastern Virginia Bankshares Inc.,Finance,Major Banks
BFAM,2,Bright Horizons Family Solutions Inc.,Miscellaneous,Other Consumer Services
RLI,3,RLI Corp.,Finance,Property-Casualty Insurers
NTAP,3,NetApp Inc.,Technology,Electronic Components
EDD,0,Morgan Stanley Emerging Markets Domestic Debt Fund Inc.,n/a,n/a
ZBRA,2,Zebra Technologies Corporation,Technology,Industrial Machinery/Components
RLD,2,RealD Inc,Technology,Radio And Television Broadcasting And Communications Equipment
EDI,0,Stone Harbor Emerging Markets Total Income Fund,n/a,n/a
EDN,0,Empresa Distribuidora Y Comercializadora Norte S.A. (Edenor),Public Utilities,Electric Utilities: Central
EDR,4,Education Realty Trust Inc.,Consumer Services,Real Estate Investment Trusts
EDS,0,Exceed Company Ltd.,Consumer Non-Durables,Shoe Manufacturing
PDII,3,PDI Inc.,Miscellaneous,Business Services
EDU,3,New Oriental Education & Technology Group Inc.,Consumer Services,Other Consumer Services
DPW,0,Digital Power Corporation,Capital Goods,Industrial Machinery/Components
ABAC,0,Aoxin Tianli Group Inc.,Consumer Non-Durables,Farming/Seeds/Milling
HDRAW,-1,Hydra Industries Acquisition Corp.,n/a,n/a
DPS,3,Dr Pepper Snapple Group Inc,Consumer Non-Durables,Beverages (Production/Distribution)
VXUS,3,Vanguard Total International Stock ETF,n/a,n/a
DUKH,-1,Duke Energy Corporation,Public Utilities,Power Generation
DPZ,3,Domino&#39;s Pizza Inc,Consumer Non-Durables,Food Distributors
DPG,-1,Duff & Phelps Global Utility Income Fund Inc.,n/a,n/a
DPD,-1,Dow 30 Premium,n/a,n/a
FCBC,2,First Community Bancshares Inc.,Finance,Major Banks
DCUB,-1,Dominion Resources Inc.,Public Utilities,Electric Utilities: Central
COHR,3,Coherent Inc.,Capital Goods,Biotechnology: Laboratory Analytical Instruments
ABAX,3,ABAXIS Inc.,Capital Goods,Industrial Machinery/Components
COHU,2,Cohu Inc.,Capital Goods,Electrical Products
LF,4,Leapfrog Enterprises Inc,Consumer Non-Durables,Recreational Products/Toys
LG,3,Laclede Group Inc.,Public Utilities,Oil/Gas Transmission
LE,1,Lands&#39; End Inc.,Consumer Services,Clothing/Shoe/Accessory Stores
LB,2,L Brands Inc.,Consumer Services,Clothing/Shoe/Accessory Stores
LC,3,LendingClub Corporation,n/a,n/a
LO,4,Lorillard Inc,Consumer Non-Durables,Farming/Seeds/Milling
LL,4,Lumber Liquidators Holdings Inc,Consumer Services,RETAIL: Building Materials
LM,3,Legg Mason Inc.,Finance,Investment Managers
LH,3,Laboratory Corporation of America Holdings,Health Care,Medical Specialities
LQ,2,La Quinta Holdings Inc.,Consumer Services,Hotels/Resorts
A,5,Agilent Technologies Inc.,Capital Goods,Electrical Products
CNTF,0,China TechFaith Wireless Communication Technology Limited,Miscellaneous,Business Services
HEAR,3,Turtle Beach Corporation,Consumer Durables,Telecommunications Equipment
NBHC,2,National Bank Holdings Corporation,Finance,Major Banks
FRGI,2,Fiesta Restaurant Group Inc.,Consumer Services,Restaurants
CNTY,3,Century Casinos Inc.,Consumer Services,Hotels/Resorts
PNY,3,Piedmont Natural Gas Company Inc.,Public Utilities,Oil/Gas Transmission
CFO,0,Compass EMP US 500 Enhanced Volatility Weighted Index ETF,n/a,n/a
CFI,3,Culp Inc.,Basic Industries,Textiles
CFG,3,Citizens Financial Group Inc.,Finance,Major Banks
CFD,-1,Nuveen Diversified Commodity Fund,n/a,n/a
PNR,3,Pentair plc.,Technology,Industrial Machinery/Components
PNW,3,Pinnacle West Capital Corporation,Public Utilities,Electric Utilities: Central
CFA,0,Compass EMP US 500 Volatility Weighted Index ETF,n/a,n/a
PNI,-1,Pimco New York Municipal Income Fund II,n/a,n/a
PNK,4,Pinnacle Entertainment Inc.,Consumer Services,Hotels/Resorts
MRLN,3,Marlin Business Services Corp.,Finance,Major Banks
PNM,2,PNM Resources Inc. (Holding Co.),Public Utilities,Electric Utilities: Central
CFX,4,Colfax Corporation,Capital Goods,Fluid Controls
PNC,3,PNC Financial Services Group Inc. (The),Finance,Major Banks
CFR,3,Cullen/Frost Bankers Inc.,Finance,Major Banks
CFP,-1,Cornerstone Progressive Return Fund,n/a,n/a
PNF,-1,PIMCO New York Municipal Income Fund,n/a,n/a
TRUP,3,Trupanion Inc.,Health Care,Medical Specialities
CBOE,2,CBOE Holdings Inc.,Finance,Investment Bankers/Brokers/Service
TRUE,3,TrueCar Inc.,Technology,Computer Software: Programming Data Processing
ELOS,4,Syneron Medical Ltd.,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
PRQR,3,ProQR Therapeutics N.V.,Health Care,Major Pharmaceuticals
CRD/A,-1,Crawford & Company,Finance,Specialty Insurers
CRD/B,-1,Crawford & Company,Finance,Specialty Insurers
HYLS,0,First Trust High Yield Long/Short ETF,n/a,n/a
JMLP,-1,Nuveen All Cap Energy MLP Opportunities Fund,n/a,n/a
CHFN,0,Charter Financial Corp.,Finance,Savings Institutions
CHFC,3,Chemical Financial Corporation,Finance,Major Banks
JAXB,0,Jacksonville Bancorp Inc.,Finance,Major Banks
MRO,4,Marathon Oil Corporation,Energy,Oil & Gas Production
MRH,3,Montpelier Re Holdings Ltd.,Finance,Property-Casualty Insurers
MRK,3,Merck & Company Inc.,Health Care,Major Pharmaceuticals
SIXD,0,6D Global Technologies Inc.,n/a,n/a
MRC,5,MRC Global Inc.,Capital Goods,Industrial Machinery/Components
APP,3,American Apparel Inc,Finance,Business Services
APT,0,Alpha Pro Tech Ltd.,Health Care,Industrial Specialties
APU,3,AmeriGas Partners L.P.,Consumer Services,Other Specialty Stores
ORBK,3,Orbotech Ltd.,Capital Goods,Industrial Machinery/Components
API,3,Advanced Photonix Inc.,Technology,Semiconductors
APO,4,Apollo Global Management LLC,Finance,Investment Managers
APL,3,Atlas Pipeline Partners L.P.,Public Utilities,Natural Gas Distribution
APB,0,Asia Pacific Fund Inc. (The),n/a,n/a
APC,5,Anadarko Petroleum Corporation,Energy,Oil & Gas Production
ORBC,3,ORBCOMM Inc.,Consumer Services,Telecommunications Equipment
APA,5,Apache Corporation,Energy,Oil & Gas Production
APF,0,Morgan Stanley Asia-Pacific Fund Inc.,n/a,n/a
APD,2,Air Products and Chemicals Inc.,Basic Industries,Major Chemicals
GULTU,-1,Gulf Coast Ultra Deep Royalty Trust,Energy,Oil & Gas Production
ADNC,3,Audience Inc.,Technology,Semiconductors
UCTT,3,Ultra Clean Holdings Inc.,Technology,Semiconductors
EMKR,3,EMCORE Corporation,Technology,Semiconductors
PAYX,3,Paychex Inc.,Consumer Services,Diversified Commercial Services
CSOD,3,Cornerstone OnDemand Inc.,Technology,Computer Software: Prepackaged Software
SLCT,2,Select Bancorp Inc.,Finance,Major Banks
TRTLW,-1,Terrapin 3 Acquisition Corporation,Finance,Business Services
SLCA,4,U.S. Silica Holdings Inc.,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
TRTLU,-1,Terrapin 3 Acquisition Corporation,Finance,Business Services
PAYC,3,Paycom Software Inc.,Technology,Computer Software: Prepackaged Software
JGBB,0,WisdomTree Japan Interest Rate Strategy Fund,n/a,n/a
SEP,1,Spectra Energy Partners LP,Public Utilities,Natural Gas Distribution
VTIP,0,Vanguard Short-Term Inflation-Protected Securities Index Fund,n/a,n/a
OCUL,3,Ocular Therapeutix Inc.,Health Care,Major Pharmaceuticals
LBRKR,-1,Liberty Broadband Corporation,n/a,n/a
LAND,2,Gladstone Land Corporation,Consumer Services,Real Estate Investment Trusts
LANC,3,Lancaster Colony Corporation,Consumer Non-Durables,Packaged Foods
RKUS,3,Ruckus Wireless Inc.,Technology,Computer peripheral equipment
SEB,0,Seaboard Corporation,n/a,n/a
CRWS,3,Crown Crafts Inc.,Basic Industries,Textiles
CRWN,0,Crown Media Holdings Inc.,Consumer Services,Television Services
SPAN,0,Span-America Medical Systems Inc.,Health Care,Industrial Specialties
SOCB,0,Southcoast Financial Corporation,Finance,Major Banks
RMGN,0,RMG Networks Holding Corporation,Miscellaneous,Business Services
SOCL,2,Global X Social Media Index ETF,n/a,n/a
DNKN,4,Dunkin&#39; Brands Group Inc.,Consumer Services,Restaurants
VNRBP,-1,Vanguard Natural Resources LLC,Energy,Oil & Gas Production
SPAR,3,Spartan Motors Inc.,Capital Goods,Auto Manufacturing
ANSS,3,ANSYS Inc.,Technology,Computer Software: Prepackaged Software
CNHI,3,CNH Industrial N.V.,Capital Goods,Construction/Ag Equipment/Trucks
GEF/B,-1,Greif Bros. Corporation,n/a,n/a
BIIB,2,Biogen Idec Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
PHIIK,0,PHI Inc.,Transportation,Transportation Services
HOTRW,-1,Chanticleer Holdings Inc.,Consumer Services,Restaurants
OAKS,5,Five Oaks Investment Corp.,Consumer Services,Real Estate Investment Trusts
VCF,0,Delaware Investments Colorado Municipal Income Fund Inc,n/a,n/a
VCO,0,Vina Concha Y Toro,Consumer Non-Durables,Beverages (Production/Distribution)
IMO,5,Imperial Oil Limited,Energy,Integrated oil Companies
VCV,0,Invesco California Value Municipal Income Trust,n/a,n/a
CLC,4,CLARCOR Inc.,Capital Goods,Auto Parts:O.E.M.
TARO,0,Taro Pharmaceutical Industries Ltd.,Health Care,Major Pharmaceuticals
AIRI,4,Air Industries Group,Capital Goods,Military/Government/Technical
AIRM,3,Air Methods Corporation,Transportation,Transportation Services
AIRR,0,First Trust RBA American Industrial Renaissance ETF,n/a,n/a
AIRT,0,Air T Inc.,Transportation,Air Freight/Delivery Services
FCE/B,-1,Forest City Enterprises Inc,Consumer Services,Building operators
CFNL,3,Cardinal Financial Corporation,Finance,Major Banks
FCE/A,-1,Forest City Enterprises Inc,Consumer Services,Building operators
AMSG,2,Amsurg Corp.,Health Care,Medical/Nursing Services
AMSF,2,AMERISAFE Inc.,Finance,Property-Casualty Insurers
AMSC,0,American Superconductor Corporation,Consumer Durables,Metal Fabrications
CFNB,0,California First National Bancorp,Finance,Major Banks
LIVE,2,LiveDeal Inc.,Technology,EDP Services
BRDR,2,Borderfree Inc.,Miscellaneous,Business Services
YUMA,0,Yuma Energy Inc.,Energy,Oil & Gas Production
CSPI,0,CSP Inc.,Technology,EDP Services
X,3,United States Steel Corporation,Basic Industries,Steel/Iron Ore
BLIN,2,Bridgeline Digital Inc.,Technology,Computer Software: Prepackaged Software
UBSH,3,Union Bankshares Corporation,Finance,Major Banks
UBSI,3,United Bankshares Inc.,Finance,Major Banks
PLCE,2,Children&#39;s Place Inc. (The),Consumer Services,Clothing/Shoe/Accessory Stores
HMNF,0,HMN Financial Inc.,Finance,Savings Institutions
PLCM,3,Polycom Inc.,Public Utilities,Telecommunications Equipment
MCUR,3,MACROCURE LTD.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
UMBF,3,UMB Financial Corporation,Finance,Major Banks
DMB,-1,Dreyfus Municipal Bond Infrastructure Fund Inc.,n/a,n/a
DMD,3,Demand Media Inc.,Technology,EDP Services
DMF,0,Dreyfus Municipal Income Inc.,n/a,n/a
DMO,-1,Western Asset Mortgage Defined Opportunity Fund Inc,n/a,n/a
SWKS,1,Skyworks Solutions Inc.,Technology,Semiconductors
COBZ,3,CoBiz Financial Inc.,Finance,Major Banks
GPOR,4,Gulfport Energy Corporation,Energy,Oil & Gas Production
FWV,0,First West Virginia Bancorp Inc.,Finance,Major Banks
XWES,-1,World Energy Solutions Inc (DE),Miscellaneous,Business Services
BSBR,4,Banco Santander Brasil SA,Finance,Commercial Banks
OXLCO,-1,Oxford Lane Capital Corp.,n/a,n/a
OXLCN,-1,Oxford Lane Capital Corp.,n/a,n/a
SABR,3,Sabre Corporation,Technology,Computer Software: Programming Data Processing
OPOF,0,Old Point Financial Corporation,Finance,Major Banks
CTXS,3,Citrix Systems Inc.,Technology,Computer Software: Prepackaged Software
OXLCP,-1,Oxford Lane Capital Corp.,n/a,n/a
MGIC,4,Magic Software Enterprises Ltd.,Technology,Computer Software: Prepackaged Software
FFBC,3,First Financial Bancorp.,Finance,Major Banks
LEN/B,-1,Lennar Corporation,n/a,n/a
XRM,0,Xerium Technologies Inc.,Basic Industries,Textiles
INFY,3,Infosys Limited,Technology,EDP Services
XRA,0,Exeter Resource Corporation,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
XRX,4,Xerox Corporation,Miscellaneous,Business Services
XRS,3,TAL Education Group,Consumer Services,Other Consumer Services
PSO,3,Pearson Plc,Consumer Services,Books
JLS,-1,Nuveen Mortgage Opportunity Term Fund,n/a,n/a
PSB,4,PS Business Parks Inc.,Consumer Services,Real Estate Investment Trusts
PSA,2,Public Storage,Consumer Services,Real Estate Investment Trusts
PSF,-1,Cohen & Steers Select Preferred and Income Fund Inc.,n/a,n/a
PSG,4,Performance Sports Group Ltd,Consumer Non-Durables,Recreational Products/Toys
ESYS,0,Elecsys Corporation,Capital Goods,Industrial Machinery/Components
KFRC,3,Kforce Inc.,Technology,Professional Services
JLA,-1,Nuveen Equity Premium Advantage Fund,n/a,n/a
INWK,3,InnerWorkings Inc.,Consumer Durables,Containers/Packaging
ASUR,3,Asure Software Inc,Technology,EDP Services
GABC,3,German American Bancorp Inc.,Finance,Major Banks
BCO,3,Brink&#39;s Company (The),Transportation,Oil Refining/Marketing
BCH,4,Banco De Chile,Finance,Commercial Banks
TRNO,4,Terreno Realty Corporation,Finance,Real Estate
HNI,3,HNI Corporation,Consumer Durables,Office Equipment/Supplies/Services
HNH,0,Handy & Harman Ltd.,Capital Goods,Industrial Specialties
HCACW,-1,Hennessy Capital Acquisition Corp.,Capital Goods,Construction/Ag Equipment/Trucks
BCA,1,Corpbanca,Finance,Commercial Banks
BCC,2,Boise Cascade L.L.C.,Consumer Services,RETAIL: Building Materials
TRNX,2,Tornier N.V.,Health Care,Industrial Specialties
ZIONW,-1,Zions Bancorporation,Finance,Major Banks
HNR,0,Harvest Natural Resources Inc,Energy,Oil & Gas Production
BCX,-1,BlackRock Resources,n/a,n/a
HNT,3,Health Net Inc.,Health Care,Medical Specialities
HNW,-1,Pioneer Diversified High Income Trust,n/a,n/a
RIVR,0,River Valley Bancorp.,Finance,Savings Institutions
BCV,0,Bancroft Fund Limited,n/a,n/a
TRNS,0,Transcat Inc.,Capital Goods,Electrical Products
BCR,2,C.R. Bard Inc.,Health Care,Medical/Dental Instruments
RVSB,2,Riverview Bancorp Inc,Finance,Savings Institutions
BAC/WS/A,-1,Bank of America Corporation,n/a,n/a
OSGB,0,Overseas Shipholding Group Inc.,Transportation,Marine Transportation
SRC,3,Spirit Realty Capital Inc.,Consumer Services,Building operators
SRF,-1,The Cushing Royalty & Income Fund,n/a,n/a
ASRVP,-1,AmeriServ Financial Inc.,Finance,Major Banks
SRE,3,Sempra Energy,Public Utilities,Natural Gas Distribution
SRI,3,Stoneridge Inc.,Capital Goods,Auto Parts:O.E.M.
ESCRP,-1,Escalera Resources Co.,Energy,Oil & Gas Production
SRV,0,The Cushing MLP Total Return Fund,n/a,n/a
SRT,2,StarTek Inc.,Technology,Professional Services
MYC,0,Blackrock MuniYield California Fund Inc.,n/a,n/a
TDJ,-1,Telephone and Data Systems Inc.,Public Utilities,Telecommunications Equipment
NMT,0,Nuveen Massachusetts Premium Income Municipal Fund,n/a,n/a
NMR,0,Nomura Holdings Inc ADR,Finance,Investment Bankers/Brokers/Service
NMS,-1,Nuveen Minnesota Municipal Income Fund,n/a,n/a
TDC,3,Teradata Corporation,Technology,Computer Manufacturing
HLX,4,Helix Energy Solutions Group Inc.,Energy,Oilfield Services/Equipment
TDG,2,Transdigm Group Incorporated,Capital Goods,Military/Government/Technical
TDF,0,Templeton Dragon Fund Inc.,n/a,n/a
TDE,-1,Telephone and Data Systems Inc.,Public Utilities,Telecommunications Equipment
NMY,0,Nuveen Maryland Premium Income Municipal Fund,n/a,n/a
TDY,2,Teledyne Technologies Incorporated,Capital Goods,Industrial Machinery/Components
BBDO,0,Banco Bradesco Sa,Capital Goods,Miscellaneous
NMA,0,Nuveen Municipal Advantage Fund Inc.,n/a,n/a
TDS,3,Telephone and Data Systems Inc.,Public Utilities,Telecommunications Equipment
NMO,0,Nuveen Municipal Market Opportunity Fund Inc.,n/a,n/a
NML,-1,Neuberger Berman MLP Income Fund Inc.,n/a,n/a
NMM,3,Navios Maritime Partners LP,Transportation,Marine Transportation
TDW,4,Tidewater Inc.,Consumer Services,Marine Transportation
NMI,0,Nuveen Municipal Income Fund Inc.,n/a,n/a
IFON,0,InfoSonics Corp,Consumer Non-Durables,Electronic Components
RITT,0,RIT Technologies Ltd.,Consumer Durables,Telecommunications Equipment
SYRX,3,Sysorex Global Holding Corp.,Technology,EDP Services
SMFG,4,Sumitomo Mitsui Financial Group Inc,Finance,Commercial Banks
LOR,-1,Lazard World Dividend & Income Fund Inc.,n/a,n/a
FHY,-1,First Trust Strategic High Income Fund II,n/a,n/a
LOW,2,Lowe&#39;s Companies Inc.,Consumer Services,RETAIL: Building Materials
ADUS,3,Addus HomeCare Corporation,Health Care,Medical/Nursing Services
IKAN,3,Ikanos Communications Inc.,Public Utilities,Telecommunications Equipment
GUID,3,Guidance Software Inc.,Technology,Computer Software: Prepackaged Software
CQB,-1,Chiquita Brands International Inc.,Consumer Non-Durables,Farming/Seeds/Milling
QTEC,1,First Trust NASDAQ-100-Technology Sector Index Fund,n/a,n/a
NTGR,3,NETGEAR Inc.,Public Utilities,Telecommunications Equipment
EBF,0,Ennis Inc.,Consumer Services,Office Equipment/Supplies/Services
NOW,3,ServiceNow Inc.,Technology,Computer Software: Prepackaged Software
RJF,4,Raymond James Financial Inc.,Finance,Investment Bankers/Brokers/Service
RJD,-1,Raymond James Financial Inc.,Finance,Investment Bankers/Brokers/Service
EBR,0,Centrais Electricas Brasileiras SA,Public Utilities,Electric Utilities: Central
EBS,3,Emergent Biosolutions Inc.,Health Care,Major Pharmaceuticals
DRQ,4,Dril-Quip Inc.,Energy,Metal Fabrications
ABGB,1,Abengoa S.A.,Consumer Services,Military/Government/Technical
GLNG,3,Golar LNG Limited,Consumer Services,Marine Transportation
LFUS,3,Littelfuse Inc.,Consumer Durables,Electrical Products
DRI,2,Darden Restaurants Inc.,Consumer Services,Restaurants
DRH,2,Diamondrock Hospitality Company,Consumer Services,Real Estate Investment Trusts
DRL,0,Doral Financial Corporation,Finance,Commercial Banks
GPRE,3,Green Plains Inc.,Basic Industries,Major Chemicals
DRA,-1,Diversified Real Asset Income Fund,n/a,n/a
DRC,4,Dresser-Rand Group Inc.,Energy,Industrial Machinery/Components
GPRO,2,GoPro Inc.,Miscellaneous,Industrial Machinery/Components
DRD,0,DRDGOLD Limited,Basic Industries,Precious Metals
CONN,5,Conn&#39;s Inc.,Consumer Services,Consumer Electronics/Video Chains
KBAL,0,Kimball International Inc.,Consumer Durables,Home Furnishings
NDRM,3,NeuroDerm Ltd.,Health Care,Major Pharmaceuticals
NDRO,5,Enduro Royalty Trust,Energy,Oil & Gas Production
HEOP,3,Heritage Oaks Bancorp,Finance,Major Banks
CXP,4,Columbia Property Trust Inc.,Consumer Services,Real Estate Investment Trusts
CXW,3,Corrections Corporation of America,Consumer Services,Real Estate Investment Trusts
CXE,0,Colonial High Income Municipal Trust,n/a,n/a
RPRXZ,-1,Repros Therapeutics Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CXH,0,Colonial Investment Grade Municipal Trust,n/a,n/a
RPRXW,-1,Repros Therapeutics Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CXO,5,Concho Resources Inc.,Energy,Oil & Gas Production
METR,0,Metro Bancorp Inc,Finance,Major Banks
CVEO,3,Civeo Corporation,Consumer Services,Hotels/Resorts
AAON,0,AAON Inc.,Capital Goods,Industrial Machinery/Components
AAOI,3,Applied Optoelectronics Inc.,Technology,Semiconductors
OXGN,3,OXiGENE Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
GOF,-1,Guggenheim Strategic Opportunities Fund,n/a,n/a
NEPT,2,Neptune Technologies & Bioresources Inc,Health Care,Major Pharmaceuticals
JAZZ,3,Jazz Pharmaceuticals plc,Health Care,Major Pharmaceuticals
IBCP,3,Independent Bank Corporation,Finance,Major Banks
CAPL,3,CrossAmerica Partners LP,Energy,Oil Refining/Marketing
CAPN,0,Capnia Inc.,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
MLM,4,Martin Marietta Materials Inc.,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
DTSI,3,DTS Inc.,Miscellaneous,Multi-Sector Companies
IBCA,0,Intervest Bancshares Corp.,Finance,Major Banks
AQXP,3,Aquinox Pharmaceuticals Inc.,Health Care,Major Pharmaceuticals
CHDN,3,Churchill Downs Incorporated,Consumer Services,Services-Misc. Amusement & Recreation
MPG,0,Metaldyne Performance Group Inc.,n/a,n/a
MPB,0,Mid Penn Bancorp,Finance,Major Banks
MPC,3,Marathon Petroleum Corporation,Energy,Integrated oil Companies
MPA,0,Blackrock MuniYield Pennsylvania Quality Fund,n/a,n/a
AVT,3,Avnet Inc.,Consumer Non-Durables,Electronic Components
MPO,2,Midstates Petroleum Company Inc.,Energy,Oil & Gas Production
AVV,-1,Aviva plc,Finance,Life Insurance
AVP,4,Avon Products Inc.,Consumer Non-Durables,Package Goods/Cosmetics
MPV,0,Babson Capital Participation Investors,n/a,n/a
WOOF,3,VCA Inc. ,Consumer Non-Durables,Farming/Seeds/Milling
WOOD,0,iShares S&P Global Timber &Forestry Index Fund,n/a,n/a
AVH,5,Avianca Holdings S.A.,Transportation,Air Freight/Delivery Services
AVK,0,Advent Claymore Convertible Securities and Income Fund,n/a,n/a
AVD,3,American Vanguard Corporation,Basic Industries,Agricultural Chemicals
AVG,3,AVG Technologies N.V.,Technology,Computer Software: Prepackaged Software
PSIX,4,Power Solutions International Inc.,Energy,Industrial Machinery/Components
AVA,4,Avista Corporation,Public Utilities,Power Generation
AVB,3,AvalonBay Communities Inc.,Consumer Services,Real Estate Investment Trusts
AXTI,2,AXT Inc,Technology,Semiconductors
AXTA,3,Axalta Coating Systems Ltd.,Basic Industries,Paints/Coatings
CEQP,3,Crestwood Equity Partners LP,Consumer Services,Other Consumer Services
ADHD,2,Alcobra Ltd.,Health Care,Major Pharmaceuticals
GGAC,-1,Garnero Group Acquisition Company,Finance,Business Services
ISIS,3,Isis Pharmaceuticals Inc.,Health Care,Major Pharmaceuticals
GGAL,1,Grupo Financiero Galicia S.A.,Finance,Commercial Banks
EMIF,0,iShares S&P Emerging Markets Infrastructure Index Fund,n/a,n/a
ISIG,0,Insignia Systems Inc.,Consumer Services,Advertising
HBCP,3,Home Bancorp Inc.,Finance,Banks
KANG,0,iKang Healthcare Group Inc.,Health Care,Medical/Nursing Services
ISIL,3,Intersil Corporation,Technology,Semiconductors
DGAS,3,Delta Natural Gas Company Inc.,Public Utilities,Oil & Gas Production
GLRE,4,Greenlight Reinsurance Ltd.,Finance,Property-Casualty Insurers
SLAB,4,Silicon Laboratories Inc.,Technology,Semiconductors
INOD,2,Innodata Inc.,Technology,EDP Services
FXCB,3,Fox Chase Bancorp Inc.,Finance,Savings Institutions
WHX,3,Whiting USA Trust I,Energy,Oil & Gas Production
PTIE,3,Pain Therapeutics,Health Care,Major Pharmaceuticals
WAYN,0,Wayne Savings Bancshares Inc.,Finance,Savings Institutions
REGI,2,Renewable Energy Group Inc.,Basic Industries,Major Chemicals
