symbol,rank,name,sector,industry,pid
CNTF,0,China TechFaith Wireless Communication Technology Limited,Miscellaneous,Business Services,0
HEAR,3,Turtle Beach Corporation,Consumer Durables,Telecommunications Equipment,0
NBHC,2,National Bank Holdings Corporation,Finance,Major Banks,0
FRGI,2,Fiesta Restaurant Group Inc.,Consumer Services,Restaurants,0
CNTY,3,Century Casinos Inc.,Consumer Services,Hotels/Resorts,0
CFN,4,CareFusion Corporation,Health Care,Medical/Dental Instruments,0
CFO,0,Compass EMP US 500 Enhanced Volatility Weighted Index ETF,n/a,n/a,0
CFI,3,Culp Inc.,Basic Industries,Textiles,0
CFG,3,Citizens Financial Group Inc.,Finance,Major Banks,0
CFD,-1,Nuveen Diversified Commodity Fund,n/a,n/a,0
PNR,3,Pentair plc.,Technology,Industrial Machinery/Components,0
PNW,3,Pinnacle West Capital Corporation,Public Utilities,Electric Utilities: Central,0
CFA,0,Compass EMP US 500 Volatility Weighted Index ETF,n/a,n/a,0
PNI,-1,Pimco New York Municipal Income Fund II,n/a,n/a,0
PNK,4,Pinnacle Entertainment Inc.,Consumer Services,Hotels/Resorts,0
MRLN,3,Marlin Business Services Corp.,Finance,Major Banks,0
PNM,2,PNM Resources Inc. (Holding Co.),Public Utilities,Electric Utilities: Central,0
CFX,4,Colfax Corporation,Capital Goods,Fluid Controls,0
PNC,3,PNC Financial Services Group Inc. (The),Finance,Major Banks,0
CFR,3,Cullen/Frost Bankers Inc.,Finance,Major Banks,0
CFP,-1,Cornerstone Progressive Return Fund,n/a,n/a,0
PNF,-1,PIMCO New York Municipal Income Fund,n/a,n/a,0
TRUP,3,Trupanion Inc.,Health Care,Medical Specialities,0
CBOE,2,CBOE Holdings Inc.,Finance,Investment Bankers/Brokers/Service,0
TRUE,3,TrueCar Inc.,Technology,Computer Software: Programming Data Processing,0
ELOS,4,Syneron Medical Ltd.,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,0
PRQR,3,ProQR Therapeutics N.V.,Health Care,Major Pharmaceuticals,0
CRD/A,-1,Crawford & Company,Finance,Specialty Insurers,0
CRD/B,-1,Crawford & Company,Finance,Specialty Insurers,0
HYLS,0,First Trust High Yield Long/Short ETF,n/a,n/a,0
JMLP,-1,Nuveen All Cap Energy MLP Opportunities Fund,n/a,n/a,0
CHFN,0,Charter Financial Corp.,Finance,Savings Institutions,0
CHFC,3,Chemical Financial Corporation,Finance,Major Banks,0
JAXB,0,Jacksonville Bancorp Inc.,Finance,Major Banks,0
MRO,4,Marathon Oil Corporation,Energy,Oil & Gas Production,0
MRH,3,Montpelier Re Holdings Ltd.,Finance,Property-Casualty Insurers,0
MRK,3,Merck & Company Inc.,Health Care,Major Pharmaceuticals,3
SIXD,0,6D Global Technologies Inc.,n/a,n/a,0
MRC,5,MRC Global Inc.,Capital Goods,Industrial Machinery/Components,0
APP,3,American Apparel Inc,Finance,Business Services,0
APT,0,Alpha Pro Tech Ltd.,Health Care,Industrial Specialties,0
APU,3,AmeriGas Partners L.P.,Consumer Services,Other Specialty Stores,0
ORBK,3,Orbotech Ltd.,Capital Goods,Industrial Machinery/Components,0
API,3,Advanced Photonix Inc.,Technology,Semiconductors,0
APO,4,Apollo Global Management LLC,Finance,Investment Managers,0
APL,3,Atlas Pipeline Partners L.P.,Public Utilities,Natural Gas Distribution,0
APB,0,Asia Pacific Fund Inc. (The),n/a,n/a,0
APC,5,Anadarko Petroleum Corporation,Energy,Oil & Gas Production,0
ORBC,3,ORBCOMM Inc.,Consumer Services,Telecommunications Equipment,0
APA,5,Apache Corporation,Energy,Oil & Gas Production,0
APF,0,Morgan Stanley Asia-Pacific Fund Inc.,n/a,n/a,0
APD,2,Air Products and Chemicals Inc.,Basic Industries,Major Chemicals,0
GULTU,-1,Gulf Coast Ultra Deep Royalty Trust,Energy,Oil & Gas Production,0
ADNC,3,Audience Inc.,Technology,Semiconductors,0
UCTT,3,Ultra Clean Holdings Inc.,Technology,Semiconductors,0
EMKR,3,EMCORE Corporation,Technology,Semiconductors,0
PAYX,3,Paychex Inc.,Consumer Services,Diversified Commercial Services,0
CSOD,3,Cornerstone OnDemand Inc.,Technology,Computer Software: Prepackaged Software,0
SLCT,2,Select Bancorp Inc.,Finance,Major Banks,0
TRTLW,-1,Terrapin 3 Acquisition Corporation,Finance,Business Services,0
SLCA,4,U.S. Silica Holdings Inc.,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),0
TRTLU,-1,Terrapin 3 Acquisition Corporation,Finance,Business Services,0
PAYC,3,Paycom Software Inc.,Technology,Computer Software: Prepackaged Software,0
JGBB,0,WisdomTree Japan Interest Rate Strategy Fund,n/a,n/a,0
SASR,3,Sandy Spring Bancorp Inc.,Finance,Major Banks,0
VTIP,0,Vanguard Short-Term Inflation-Protected Securities Index Fund,n/a,n/a,0
ADRD,0,BLDRS Developed Markets 100 ADR Index Fund,n/a,n/a,0
LBRKR,-1,Liberty Broadband Corporation,n/a,n/a,0
LAND,2,Gladstone Land Corporation,Consumer Services,Real Estate Investment Trusts,0
LANC,3,Lancaster Colony Corporation,Consumer Non-Durables,Packaged Foods,0
RKUS,3,Ruckus Wireless Inc.,Technology,Computer peripheral equipment,0
SEB,0,Seaboard Corporation,n/a,n/a,0
CRWS,3,Crown Crafts Inc.,Basic Industries,Textiles,0
CRWN,0,Crown Media Holdings Inc.,Consumer Services,Television Services,0
SPAN,0,Span-America Medical Systems Inc.,Health Care,Industrial Specialties,0
SOCB,0,Southcoast Financial Corporation,Finance,Major Banks,0
RMGN,0,RMG Networks Holding Corporation,Miscellaneous,Business Services,0
SOCL,2,Global X Social Media Index ETF,n/a,n/a,0
DNKN,4,Dunkin&#39; Brands Group Inc.,Consumer Services,Restaurants,0
VNRBP,-1,Vanguard Natural Resources LLC,Energy,Oil & Gas Production,0
SPAR,3,Spartan Motors Inc.,Capital Goods,Auto Manufacturing,0
ANSS,3,ANSYS Inc.,Technology,Computer Software: Prepackaged Software,0
ICUI,1,ICU Medical Inc.,Health Care,Medical/Dental Instruments,0
GEF/B,-1,Greif Bros. Corporation,n/a,n/a,0
BIIB,2,Biogen Idec Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),2
PHIIK,0,PHI Inc.,Transportation,Transportation Services,0
HOTRW,-1,Chanticleer Holdings Inc.,Consumer Services,Restaurants,0
OAKS,5,Five Oaks Investment Corp.,Consumer Services,Real Estate Investment Trusts,0
VCF,0,Delaware Investments Colorado Municipal Income Fund Inc,n/a,n/a,0
VCO,0,Vina Concha Y Toro,Consumer Non-Durables,Beverages (Production/Distribution),0
CLB,5,Core Laboratories N.V.,Energy,Oilfield Services/Equipment,0
VCV,0,Invesco California Value Municipal Income Trust,n/a,n/a,0
CLC,4,CLARCOR Inc.,Capital Goods,Auto Parts:O.E.M.,0
TARO,0,Taro Pharmaceutical Industries Ltd.,Health Care,Major Pharmaceuticals,0
AIRI,4,Air Industries Group,Capital Goods,Military/Government/Technical,0
AIRM,3,Air Methods Corporation,Transportation,Transportation Services,0
AIRR,0,First Trust RBA American Industrial Renaissance ETF,n/a,n/a,0
AIRT,0,Air T Inc.,Transportation,Air Freight/Delivery Services,0
FCE/B,-1,Forest City Enterprises Inc,Consumer Services,Building operators,0
CFNL,3,Cardinal Financial Corporation,Finance,Major Banks,0
FCE/A,-1,Forest City Enterprises Inc,Consumer Services,Building operators,0
AMSG,2,Amsurg Corp.,Health Care,Medical/Nursing Services,0
AMSF,2,AMERISAFE Inc.,Finance,Property-Casualty Insurers,0
AMSC,0,American Superconductor Corporation,Consumer Durables,Metal Fabrications,0
CFNB,0,California First National Bancorp,Finance,Major Banks,0
LIVE,2,LiveDeal Inc.,Technology,EDP Services,0
BRDR,2,Borderfree Inc.,Miscellaneous,Business Services,0
YUMA,0,Yuma Energy Inc.,Energy,Oil & Gas Production,0
YUME,2,YuMe Inc.,Technology,Advertising,0
CSPI,0,CSP Inc.,Technology,EDP Services,0
X,3,United States Steel Corporation,Basic Industries,Steel/Iron Ore,0
AGTC,3,Applied Genetic Technologies Corporation,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),0
UBSH,3,Union Bankshares Corporation,Finance,Major Banks,0
UBSI,3,United Bankshares Inc.,Finance,Major Banks,0
PLCE,2,Children&#39;s Place Inc. (The),Consumer Services,Clothing/Shoe/Accessory Stores,0
HMNF,0,HMN Financial Inc.,Finance,Savings Institutions,0
PLCM,3,Polycom Inc.,Public Utilities,Telecommunications Equipment,0
MCUR,3,MACROCURE LTD.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),0
UMBF,3,UMB Financial Corporation,Finance,Major Banks,0
DMB,-1,Dreyfus Municipal Bond Infrastructure Fund Inc.,n/a,n/a,0
DMD,3,Demand Media Inc.,Technology,EDP Services,0
DMF,0,Dreyfus Municipal Income Inc.,n/a,n/a,0
VNTV,4,Vantiv Inc.,Miscellaneous,Business Services,0
DMO,-1,Western Asset Mortgage Defined Opportunity Fund Inc,n/a,n/a,0
SWKS,1,Skyworks Solutions Inc.,Technology,Semiconductors,0
INFA,4,Informatica Corporation,Technology,Computer Software: Prepackaged Software,0
GPOR,4,Gulfport Energy Corporation,Energy,Oil & Gas Production,0
FWV,0,First West Virginia Bancorp Inc.,Finance,Major Banks,0
XWES,-1,World Energy Solutions Inc (DE),Miscellaneous,Business Services,0
BSBR,4,Banco Santander Brasil SA,Finance,Commercial Banks,0
OXLCO,-1,Oxford Lane Capital Corp.,n/a,n/a,0
OXLCN,-1,Oxford Lane Capital Corp.,n/a,n/a,0
SABR,3,Sabre Corporation,Technology,Computer Software: Programming Data Processing,0
OPOF,0,Old Point Financial Corporation,Finance,Major Banks,0
CTXS,3,Citrix Systems Inc.,Technology,Computer Software: Prepackaged Software,0
OXLCP,-1,Oxford Lane Capital Corp.,n/a,n/a,0
MGIC,4,Magic Software Enterprises Ltd.,Technology,Computer Software: Prepackaged Software,0
FFBC,3,First Financial Bancorp.,Finance,Major Banks,0
LEN/B,-1,Lennar Corporation,n/a,n/a,0
XRM,0,Xerium Technologies Inc.,Basic Industries,Textiles,0
INFY,3,Infosys Limited,Technology,EDP Services,0
XRA,0,Exeter Resource Corporation,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),0
XRX,4,Xerox Corporation,Miscellaneous,Business Services,0
XRS,3,TAL Education Group,Consumer Services,Other Consumer Services,0
PSO,3,Pearson Plc,Consumer Services,Books,0
JLS,-1,Nuveen Mortgage Opportunity Term Fund,n/a,n/a,0
PSB,4,PS Business Parks Inc.,Consumer Services,Real Estate Investment Trusts,0
PSA,2,Public Storage,Consumer Services,Real Estate Investment Trusts,0
PSF,-1,Cohen & Steers Select Preferred and Income Fund Inc.,n/a,n/a,0
PSG,4,Performance Sports Group Ltd,Consumer Non-Durables,Recreational Products/Toys,0
ESYS,0,Elecsys Corporation,Capital Goods,Industrial Machinery/Components,0
KFRC,3,Kforce Inc.,Technology,Professional Services,0
JLA,-1,Nuveen Equity Premium Advantage Fund,n/a,n/a,0
INWK,3,InnerWorkings Inc.,Consumer Durables,Containers/Packaging,0
ASUR,3,Asure Software Inc,Technology,EDP Services,0
GABC,3,German American Bancorp Inc.,Finance,Major Banks,0
BCO,3,Brink&#39;s Company (The),Transportation,Oil Refining/Marketing,0
BCH,4,Banco De Chile,Finance,Commercial Banks,0
TRNO,4,Terreno Realty Corporation,Finance,Real Estate,0
HNI,3,HNI Corporation,Consumer Durables,Office Equipment/Supplies/Services,0
HNH,0,Handy & Harman Ltd.,Capital Goods,Industrial Specialties,0
HCACW,-1,Hennessy Capital Acquisition Corp.,Capital Goods,Construction/Ag Equipment/Trucks,0
BCA,1,Corpbanca,Finance,Commercial Banks,0
BCC,2,Boise Cascade L.L.C.,Consumer Services,RETAIL: Building Materials,0
TRNX,2,Tornier N.V.,Health Care,Industrial Specialties,0
HNP,1,Huaneng Power International Inc.,Public Utilities,Electric Utilities: Central,0
ZIONW,-1,Zions Bancorporation,Finance,Major Banks,0
HNR,0,Harvest Natural Resources Inc,Energy,Oil & Gas Production,0
BCX,-1,BlackRock Resources,n/a,n/a,0
HNT,3,Health Net Inc.,Health Care,Medical Specialities,0
HNW,-1,Pioneer Diversified High Income Trust,n/a,n/a,0
RIVR,0,River Valley Bancorp.,Finance,Savings Institutions,0
BCV,0,Bancroft Fund Limited,n/a,n/a,0
TRNS,0,Transcat Inc.,Capital Goods,Electrical Products,0
BCR,2,C.R. Bard Inc.,Health Care,Medical/Dental Instruments,0
RVSB,2,Riverview Bancorp Inc,Finance,Savings Institutions,0
CPRT,3,Copart Inc.,Consumer Durables,Automotive Aftermarket,0
OSGB,0,Overseas Shipholding Group Inc.,Transportation,Marine Transportation,0
SRC,3,Spirit Realty Capital Inc.,Consumer Services,Building operators,0
SRF,-1,The Cushing Royalty & Income Fund,n/a,n/a,0
ASRVP,-1,AmeriServ Financial Inc.,Finance,Major Banks,0
CORI,3,Corium International Inc.,Health Care,Major Pharmaceuticals,0
SRE,3,Sempra Energy,Public Utilities,Natural Gas Distribution,0
SRI,3,Stoneridge Inc.,Capital Goods,Auto Parts:O.E.M.,0
ESCRP,-1,Escalera Resources Co.,Energy,Oil & Gas Production,0
SRV,0,The Cushing MLP Total Return Fund,n/a,n/a,0
SRT,2,StarTek Inc.,Technology,Professional Services,0
MYC,0,Blackrock MuniYield California Fund Inc.,n/a,n/a,0
TDJ,-1,Telephone and Data Systems Inc.,Public Utilities,Telecommunications Equipment,0
TDI,-1,Telephone and Data Systems Inc.,Public Utilities,Telecommunications Equipment,0
NMR,0,Nomura Holdings Inc ADR,Finance,Investment Bankers/Brokers/Service,0
NMS,-1,Nuveen Minnesota Municipal Income Fund,n/a,n/a,0
TDC,3,Teradata Corporation,Technology,Computer Manufacturing,0
TDA,-1,Telephone and Data Systems Inc.,Public Utilities,Telecommunications Equipment,0
HLX,4,Helix Energy Solutions Group Inc.,Energy,Oilfield Services/Equipment,0
NMZ,0,Nuveen Municipal High Income Opportunity Fund,n/a,n/a,0
TDF,0,Templeton Dragon Fund Inc.,n/a,n/a,0
TDE,-1,Telephone and Data Systems Inc.,Public Utilities,Telecommunications Equipment,0
NMY,0,Nuveen Maryland Premium Income Municipal Fund,n/a,n/a,0
TDY,2,Teledyne Technologies Incorporated,Capital Goods,Industrial Machinery/Components,0
BBDO,0,Banco Bradesco Sa,Capital Goods,Miscellaneous,0
NMA,0,Nuveen Municipal Advantage Fund Inc.,n/a,n/a,0
TDS,3,Telephone and Data Systems Inc.,Public Utilities,Telecommunications Equipment,0
NMO,0,Nuveen Municipal Market Opportunity Fund Inc.,n/a,n/a,0
NML,-1,Neuberger Berman MLP Income Fund Inc.,n/a,n/a,0
NMM,3,Navios Maritime Partners LP,Transportation,Marine Transportation,0
TDW,4,Tidewater Inc.,Consumer Services,Marine Transportation,0
NMI,0,Nuveen Municipal Income Fund Inc.,n/a,n/a,0
IMUC,3,ImmunoCellular Therapeutics Ltd.,Health Care,Major Pharmaceuticals,0
LPSB,3,LaPorte Bancorp Inc.,Finance,Savings Institutions,0
SYRX,3,Sysorex Global Holding Corp.,Technology,EDP Services,0
SMFG,4,Sumitomo Mitsui Financial Group Inc,Finance,Commercial Banks,0
LOR,-1,Lazard World Dividend & Income Fund Inc.,n/a,n/a,0
OCRX,3,Ocera Therapeutics Inc.,Health Care,Major Pharmaceuticals,0
LOW,2,Lowe&#39;s Companies Inc.,Consumer Services,RETAIL: Building Materials,0
ADUS,3,Addus HomeCare Corporation,Health Care,Medical/Nursing Services,0
IKAN,3,Ikanos Communications Inc.,Public Utilities,Telecommunications Equipment,0
GUID,3,Guidance Software Inc.,Technology,Computer Software: Prepackaged Software,0
MRCY,2,Mercury Systems Inc,Capital Goods,Electrical Products,0
QTEC,1,First Trust NASDAQ-100-Technology Sector Index Fund,n/a,n/a,0
NTGR,3,NETGEAR Inc.,Public Utilities,Telecommunications Equipment,0
EBF,0,Ennis Inc.,Consumer Services,Office Equipment/Supplies/Services,0
NOW,3,ServiceNow Inc.,Technology,Computer Software: Prepackaged Software,0
RJF,4,Raymond James Financial Inc.,Finance,Investment Bankers/Brokers/Service,0
RJD,-1,Raymond James Financial Inc.,Finance,Investment Bankers/Brokers/Service,0
EBR,0,Centrais Electricas Brasileiras SA,Public Utilities,Electric Utilities: Central,0
EBS,3,Emergent Biosolutions Inc.,Health Care,Major Pharmaceuticals,0
DRQ,4,Dril-Quip Inc.,Energy,Metal Fabrications,0
ABGB,1,Abengoa S.A.,Consumer Services,Military/Government/Technical,0
GLNG,3,Golar LNG Limited,Consumer Services,Marine Transportation,0
LFUS,3,Littelfuse Inc.,Consumer Durables,Electrical Products,0
DRI,2,Darden Restaurants Inc.,Consumer Services,Restaurants,0
DRH,2,Diamondrock Hospitality Company,Consumer Services,Real Estate Investment Trusts,0
CONE,3,CyrusOne Inc,Consumer Services,Real Estate Investment Trusts,0
GPRE,3,Green Plains Inc.,Basic Industries,Major Chemicals,0
GPRK,1,Geopark Ltd,Energy,Oil & Gas Production,0
DRC,4,Dresser-Rand Group Inc.,Energy,Industrial Machinery/Components,0
GPRO,2,GoPro Inc.,Miscellaneous,Industrial Machinery/Components,0
DRD,0,DRDGOLD Limited,Basic Industries,Precious Metals,0
CONN,5,Conn&#39;s Inc.,Consumer Services,Consumer Electronics/Video Chains,0
TCBI,4,Texas Capital Bancshares Inc.,Finance,Major Banks,0
NDRM,3,NeuroDerm Ltd.,Health Care,Major Pharmaceuticals,0
NDRO,5,Enduro Royalty Trust,Energy,Oil & Gas Production,0
HEOP,3,Heritage Oaks Bancorp,Finance,Major Banks,0
CXP,4,Columbia Property Trust Inc.,Consumer Services,Real Estate Investment Trusts,0
CXW,3,Corrections Corporation of America,Consumer Services,Real Estate Investment Trusts,0
CXE,0,Colonial High Income Municipal Trust,n/a,n/a,0
RPRXZ,-1,Repros Therapeutics Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),0
CXH,0,Colonial Investment Grade Municipal Trust,n/a,n/a,0
RPRXW,-1,Repros Therapeutics Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),0
CXO,5,Concho Resources Inc.,Energy,Oil & Gas Production,0
METR,0,Metro Bancorp Inc,Finance,Major Banks,0
CVEO,3,Civeo Corporation,Consumer Services,Hotels/Resorts,0
AAON,0,AAON Inc.,Capital Goods,Industrial Machinery/Components,0
AAOI,3,Applied Optoelectronics Inc.,Technology,Semiconductors,0
PJH,-1,Prudential Financial Inc.,Finance,Life Insurance,0
OXGN,3,OXiGENE Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),0
GOF,-1,Guggenheim Strategic Opportunities Fund,n/a,n/a,0
NEPT,2,Neptune Technologies & Bioresources Inc,Health Care,Major Pharmaceuticals,0
JAZZ,3,Jazz Pharmaceuticals plc,Health Care,Major Pharmaceuticals,0
IBCP,3,Independent Bank Corporation,Finance,Major Banks,0
CAPL,3,CrossAmerica Partners LP,Energy,Oil Refining/Marketing,0
CAPN,0,Capnia Inc.,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,0
FSAM,3,Fifth Street Asset Management Inc.,Finance,Investment Managers,0
DTSI,3,DTS Inc.,Miscellaneous,Multi-Sector Companies,0
IBCA,0,Intervest Bancshares Corp.,Finance,Major Banks,0
AQXP,3,Aquinox Pharmaceuticals Inc.,Health Care,Major Pharmaceuticals,0
CHDN,3,Churchill Downs Incorporated,Consumer Services,Services-Misc. Amusement & Recreation,0
MPG,0,Metaldyne Performance Group Inc.,n/a,n/a,0
MPB,0,Mid Penn Bancorp,Finance,Major Banks,0
MPC,3,Marathon Petroleum Corporation,Energy,Integrated oil Companies,0
MPA,0,Blackrock MuniYield Pennsylvania Quality Fund,n/a,n/a,0
AVT,3,Avnet Inc.,Consumer Non-Durables,Electronic Components,0
MPO,2,Midstates Petroleum Company Inc.,Energy,Oil & Gas Production,0
AVV,-1,Aviva plc,Finance,Life Insurance,0
AVP,4,Avon Products Inc.,Consumer Non-Durables,Package Goods/Cosmetics,0
MPV,0,Babson Capital Participation Investors,n/a,n/a,0
WOOF,3,VCA Inc. ,Consumer Non-Durables,Farming/Seeds/Milling,0
WOOD,0,iShares S&P Global Timber &Forestry Index Fund,n/a,n/a,0
AVH,5,Avianca Holdings S.A.,Transportation,Air Freight/Delivery Services,0
AVK,0,Advent Claymore Convertible Securities and Income Fund,n/a,n/a,0
