symbol,total trade,win trade,win rate%,gain,return%,maxgain%,maxloss%
VIPS,1,0,0.0,-65.9934006599342,-0.66,0.0,0.66
BRCM,0,0,0.0,0.0,0.0,0.0,0.0
LVS,1,1,100.0,539.0920554854983,5.39,5.39,0.0
SCTY,0,0,0.0,0.0,0.0,0.0,0.0
SOHU,0,0,0.0,0.0,0.0,0.0,0.0
TXN,0,0,0.0,0.0,0.0,0.0,0.0
FL,0,0,0.0,0.0,0.0,0.0,0.0
MDT,1,0,0.0,-66.98532938588505,-0.67,0.0,0.67
ILMN,1,1,100.0,237.2365556144032,2.37,2.37,0.0
YY,1,0,0.0,0.0,0.0,0.0,-0.0
ABT,1,1,100.0,106.7224399723309,1.07,1.07,0.0
GOOGL,0,0,0.0,0.0,0.0,0.0,0.0
LPG,0,0,0.0,0.0,0.0,0.0,0.0
BBRY,0,0,0.0,0.0,0.0,0.0,0.0
KMB,0,0,0.0,0.0,0.0,0.0,0.0
VRX,0,0,0.0,0.0,0.0,0.0,0.0
NOK,1,0,0.0,-190.33974621367088,-1.9,0.0,1.9
GS,0,0,0.0,0.0,0.0,0.0,0.0
GG,0,0,0.0,0.0,0.0,0.0,0.0
GE,0,0,0.0,0.0,0.0,0.0,0.0
GM,1,0,0.0,-17.01216378276513,-0.17,0.0,0.17
SAP,1,1,100.0,12.704410710797674,0.13,0.13,0.0
JAH,1,0,0.0,-27.8564910426976,-0.28,0.0,0.28
WYNN,1,1,100.0,1235.7804783308366,12.36,12.36,0.0
AAPL,0,0,0.0,0.0,0.0,0.0,0.0
VIAV,0,0,0.0,0.0,0.0,0.0,0.0
D,1,0,0.0,-59.402181601979464,-0.59,0.0,0.59
HD,1,0,0.0,-18.283054932267987,-0.18,0.0,0.18
YHOO,0,0,0.0,0.0,0.0,0.0,0.0
ADI,0,0,0.0,0.0,0.0,0.0,0.0
JUNO,0,0,0.0,0.0,0.0,0.0,0.0
QUNR,1,0,0.0,-157.1985171480119,-1.57,0.0,1.57
PANW,1,0,0.0,-670.9887391000211,-6.71,0.0,6.71
IR,0,0,0.0,0.0,0.0,0.0,0.0
CLD,0,0,0.0,0.0,0.0,0.0,0.0
CTRP,1,0,0.0,-297.9659807303433,-2.98,0.0,2.98
TRV,0,0,0.0,0.0,0.0,0.0,0.0
QIHU,1,1,100.0,12.991573033710665,0.13,0.13,0.0
PFE,0,0,0.0,0.0,0.0,0.0,0.0
GIS,0,0,0.0,0.0,0.0,0.0,0.0
MJN,0,0,0.0,0.0,0.0,0.0,0.0
BABA,1,1,100.0,153.9616973338325,1.54,1.54,0.0
TSLA,1,0,0.0,-174.02256960146588,-1.74,0.0,1.74
ALXN,1,0,0.0,-64.5694321323117,-0.65,0.0,0.65
MHK,0,0,0.0,0.0,0.0,0.0,0.0
NVS,0,0,0.0,0.0,0.0,0.0,0.0
GOOG,1,0,0.0,-76.76738384070086,-0.77,0.0,0.77
NKE,0,0,0.0,0.0,0.0,0.0,0.0
CYOU,0,0,0.0,0.0,0.0,0.0,0.0
CBI,0,0,0.0,0.0,0.0,0.0,0.0
NVDA,1,1,100.0,937.9326068122755,9.38,9.38,0.0
BLUE,0,0,0.0,0.0,0.0,0.0,0.0
KO,0,0,0.0,0.0,0.0,0.0,0.0
KR,1,0,0.0,-315.2881409747588,-3.15,0.0,3.15
JPM,1,1,100.0,258.97895795966724,2.59,2.59,0.0
PLD,0,0,0.0,0.0,0.0,0.0,0.0
SIVB,0,0,0.0,0.0,0.0,0.0,0.0
MTB,0,0,0.0,0.0,0.0,0.0,0.0
T,0,0,0.0,0.0,0.0,0.0,0.0
CRUS,0,0,0.0,0.0,0.0,0.0,0.0
RDS-A,0,0,0.0,0.0,0.0,0.0,0.0
G3B.SI,0,0,0.0,0.0,0.0,0.0,0.0
D05.SI,2,1,50.0,115.32869416579524,1.15,2.19,1.04
