symbol,exg,rank,indurank,indutotal,etf,abrt,abr1w,abr1m,abr2m,abr3m,numbr,cq0,cq7,cq30,cq60,cq90
SOHU,O, ,33,265,,2.34,2.34,2.34,2.45,2.33,5,-0.88,-0.88,NA,NA,-0.82
TXN,O,1,24,265,,2.38,2.38,2.38,2.23,2.28,26,0.69,0.69,0.69,0.62,0.62
FL,N,2,193,265,,1.76,1.76,1.65,1.69,1.69,17,1.13,1.12,1.13,1.13,1.13
MDT,N,3,55,265,,1.64,1.64,1.64,1.71,1.66,18,1.00,1.00,1.00,1.00,1.05
ILMN,O,4,88,265,,1.89,1.89,1.89,1.67,1.56,18,0.79,0.79,0.79,0.92,0.92
YY,O, ,75,265,,1.00,1.00,1.00,1.00,1.67,4,NA,NA,NA,NA,0.81
ABT,N,3,80,265,,1.74,1.74,1.74,1.85,1.85,17,0.62,0.62,0.62,0.63,0.63
GOOGL,O,3,33,265,,1.21,1.21,1.22,1.16,1.22,33,6.61,6.61,6.61,6.73,6.73
LPG,N,3,156,265,,1.00,1.00,1.00,1.00,1.00,3,0.62,0.62,0.38,0.41,0.41
BBRY,O,5,163,265,,2.74,2.74,2.74,2.85,2.86,19,-0.20,-0.20,-0.20,-0.07,-0.05
KMB,N,3,160,265,,2.42,2.42,2.42,2.42,2.62,12,1.43,1.43,1.44,1.45,1.46
VRX,N,3,37,265,,1.64,1.64,1.69,1.64,1.55,14,3.61,3.61,4.05,4.00,4.00
NOK,N,3,208,265,,2.23,2.23,2.23,2.33,2.45,13,0.11,0.11,0.11,0.11,0.11
GS,N,3,235,265,,2.50,2.50,2.50,2.77,3.08,14,4.79,4.79,4.80,5.12,5.28
GG,N,3,167,265,,1.69,1.69,1.69,1.69,1.69,18,0.04,0.04,0.05,0.07,0.08
GE,N,3,178,265,,1.82,1.82,1.90,2.00,2.00,11,0.52,0.52,0.52,0.54,0.54
GM,N,2,71,265,,2.00,2.00,2.00,1.92,1.92,13,1.19,1.19,1.18,1.15,1.17
SAP,N,3,88,265,,2.17,2.17,2.17,2.09,2.17,12,1.23,1.23,1.23,1.28,1.28
JAH,N,3,104,265,,1.13,1.13,1.15,1.15,1.15,15,1.20,1.20,1.23,1.23,1.24
AAPL,O,3,252,265,,1.68,1.68,1.61,1.79,1.79,31,3.26,3.26,3.18,3.15,3.21
VIAV,O,3,58,265,,2.17,2.17,2.17,2.17,2.23,12,0.02,0.02,0.06,0.06,0.06
D,N,3,104,265,,1.81,1.75,1.81,1.88,1.81,13,0.89,0.89,0.94,0.94,0.94
HD,N,2,92,265,,1.94,1.94,1.94,1.94,1.94,18,1.09,1.10,1.10,1.10,1.10
YHOO,O,3,33,265,,1.72,1.72,1.75,1.56,1.63,29,0.04,0.04,0.04,0.10,0.10
ADI,O,3,188,265,,1.68,1.68,1.68,1.71,1.75,22,0.71,0.72,0.72,0.72,0.72
JUNO,O,3,88,265,,1.40,1.40,1.40,1.33,1.40,5,-0.54,-0.54,-0.52,-0.52,-0.52
QUNR,O,3,33,265,,2.00,2.00,2.00,1.50,1.40,4,-1.18,-1.18,-1.18,-1.18,-1.18
PANW,N,3,58,265,,1.57,1.60,1.60,1.54,1.54,27,-0.20,-0.20,-0.20,-0.20,-0.10
IR,N,3,222,265,,1.83,1.83,1.83,1.83,1.83,15,0.93,0.93,0.97,0.99,0.99
CLD,N,3,167,265,,2.80,2.80,2.64,2.50,2.25,10,-0.15,-0.15,-0.11,-0.10,-0.10
CTRP,O,3,151,265,,1.09,1.09,1.00,1.17,1.17,11,-0.04,-0.06,0.05,0.11,0.11
TRV,N,2,58,265,,2.61,2.61,2.50,2.53,2.50,18,2.65,2.65,2.65,2.64,2.64
QIHU,N,3,85,265,,1.33,1.33,1.33,1.33,1.57,6,0.71,0.71,0.71,0.71,0.76
PFE,N,3,80,265,,1.71,1.71,1.71,1.81,1.92,12,0.51,0.51,0.50,0.50,0.49
MJN,N,5,104,265,,2.27,2.27,2.27,2.22,2.22,11,0.73,0.73,0.76,0.95,0.96
BABA,N,3,151,265,,1.42,1.42,1.36,1.36,1.33,19,0.64,0.64,0.60,0.61,0.64
TSLA,O,3,71,265,,3.00,3.00,3.00,2.63,2.73,15,-0.34,-0.34,-0.47,-0.18,-0.66
ALXN,O,3,88,265,,1.43,1.43,1.43,1.47,1.33,15,0.92,0.92,0.96,1.11,1.20
MHK,N,3,248,265,,1.38,1.38,1.43,1.38,1.38,8,2.73,2.73,2.81,2.80,2.80
NVS,N,4,80,265,,1.75,1.75,1.75,1.75,1.75,8,1.29,1.29,1.45,1.45,1.45
NKE,N,2,221,265,,1.35,1.35,1.35,1.54,1.66,24,0.85,0.85,0.85,0.85,0.87
CYOU,O,3,75,265,,3.92,3.92,3.92,3.92,4.00,4,0.58,0.58,0.53,0.62,0.70
CBI,N,3,193,265,,2.00,2.00,2.00,1.93,1.93,13,1.33,1.33,1.56,1.57,1.57
NVDA,O,1,24,265,,2.10,2.10,2.35,2.32,2.41,21,0.33,0.33,0.27,0.27,0.27
BLUE,O,3,88,265,,1.05,1.04,1.04,1.20,1.00,11,-1.15,-1.16,-1.05,-1.02,-1.03
KO,N,3,99,265,,2.09,2.09,2.15,2.14,2.14,16,0.37,0.37,0.37,0.40,0.41
KR,N,2,178,265,,1.75,1.75,1.75,1.81,1.81,14,0.39,0.39,0.39,0.38,0.38
JPM,N,3,163,265,,1.50,1.50,1.59,1.59,1.67,16,1.32,1.32,1.32,1.46,1.46
PLD,N,3,68,265,,1.25,1.25,1.13,1.17,1.30,16,0.62,0.62,0.62,0.61,0.61
SIVB,O,3,74,265,,1.35,1.35,1.46,1.33,1.33,13,1.53,1.53,1.53,1.64,1.64
T,N,2,68,265,,1.81,1.81,1.81,1.86,1.83,21,0.63,0.63,0.63,0.62,0.62
CRUS,O,3,82,265,,1.40,1.40,1.40,1.67,1.67,5,0.92,0.92,0.83,0.83,0.83
RDS.A,N,3,104,265,,1.63,1.63,1.56,1.78,1.70,8,0.69,0.77,0.70,0.69,0.65
